artist_id;artist_name;artist_popularity;followers;genres
"6DPYiyq5kWVQS4RGwxzPC7";"Dr. Dre";84;2368238;"[""g funk"",""gangster rap"",""hip hop"",""pop rap"",""rap"",""southern hip hop"",""west coast rap""]"
"72OaDtakiy6yFqkt4TsiFt";"Cher";69;405106;"[""dance pop"",""disco"",""hollywood"",""new wave pop"",""pop"",""pop christmas"",""pop rock""]"
"1xdJgXDFdLZyWwV8qPD7lw";"Park Min Joo";32;119;"[]"
"7pFeBzX627ff0VnN6bxPR4";"Desiigner";83;1157633;"[""dwn trap"",""hip hop"",""pop rap"",""rap"",""southern hip hop"",""trap music"",""underground hip hop""]"
"4nDoRrQiYLoBzwC5BhVJzF4VMYDCV2IEDYJArk749S6m";;;;
"4hCKF3RZSkFSMntkfCxO74";"David Axelrod";39;9354;"[""classic funk rock"",""exotica"",""jazz funk"",""soul jazz""]"
"4TKTii6gnOnUXQHyuo9JaD0Ty63ceoRnnJKVEYP0VQpk";;;;
"0Jzbm3ifxDNLxxS8M4BS512jku7tDXc6XoB6MO2hFuqg";;;;
"6AphpMkKDU4I3Z6XaGu1UV3y04cDQytu8ESOo9y07CI00q361GTlmwBoXupFQc0T8v2HqNckz4bPVT37fWkhugTZ3M4IoIH7mPiQPHY8M8BrAi";;;;
"2VAnyOxzJuSAj7XIuEOT3862DmErcU7dqZbJaDqwsqzR";;;;
"3dkbV4qihUeMsqN4vBGg93";"Al Green";71;623673;"[""chicago soul"",""classic funk rock"",""funk"",""funk rock"",""jazz blues"",""memphis soul"",""motown"",""neo soul"",""quiet storm"",""soul"",""soul blues"",""soul christmas"",""southern soul"",""vocal jazz""]"
"79RmzX8i9w6YwqJjg3O1MY";"Blaenavon";53;21867;"[""alt-indie rock"",""indie anthem-folk""]"
"3DFoVPonoAAt4EZ1FEI8ue";"Sir Sly";64;90750;"[""indie pop"",""indie poptimism"",""indie psych-rock"",""indie rockism"",""indietronica"",""la indie"",""modern rock"",""shimmer pop""]"
"26PDtWYDJ1KD0brukKsJH1";"Jennifer Paige";53;14860;"[""dance pop"",""europop"",""pop christmas"",""pop rock""]"
"0LmmhAkoebSsbFfgCybcGI";"Lotte Kestner";55;17067;"[""indie psych-pop""]"
"1UL813H5aj3e8ekE5RqWqc04KmByEP6icXVY0PvJaMMp";;;;
"7IAFAOtc9kTYNTizhLSWM6";"Hollow Coves";65;20942;"[""chamber pop"",""indie anthem-folk"",""indie folk""]"
"6ls2l3WdMnYWKS0WQKghHK";"Humming House";38;6833;"[""acoustic pop"",""indiecoustica"",""new americana"",""stomp and holler""]"
"7I7ObCLzhAnOchc4fCQiRX";"BOY";58;101022;"[""deep german pop rock"",""german indie"",""german pop""]"
"6vu845nbe3HOXDNYhMmZSq";"Laura Cannell";21;904;"[]"
"4VnomLtKTm9Ahe1tZfmZju";"Jackie Wilson";64;96320;"[""adult standards"",""brill building pop"",""chicago soul"",""christmas"",""classic funk rock"",""disco"",""funk"",""jazz blues"",""jazz christmas"",""memphis soul"",""motown"",""northern soul"",""quiet storm"",""rock-and-roll"",""rockabilly"",""soul"",""soul blues"",""soul christmas"",""southern soul""]"
"6huJo1XyJ0v3d5WJ5G1cYc";"Steam";38;200;"[""bubblegum pop""]"
"5MX2l6ewjOaeWn1lYNhzlO";"Bobby Vee";55;35236;"[""adult standards"",""brill building pop"",""bubblegum pop"",""christmas"",""doo-wop"",""folk rock"",""lounge"",""merseybeat"",""motown"",""nashville sound"",""rock-and-roll"",""rockabilly""]"
"4Z8W4fKeB5YxbusRsdQVPb";"Radiohead";82;2566392;"[""alternative rock"",""indie rock"",""melancholia"",""modern rock"",""permanent wave"",""rock""]"
"28Ky95tmlHktB96DBUoB0g1SFSz2SewAsgPeFvGmAouI";;;;
"5FbBZ9ZLIoVdgbbnGmsKNk";"Clem Leek";61;13844;"[""compositional ambient"",""focus"",""nu age""]"
"4MIULe6tfg2loNzBy5B9eu";"T-Wayne";59;119387;"[""dwn trap"",""pop rap"",""rap"",""trap music""]"
"4YkPXMsmFf3K2XFHPddqFU3YOBmFkNme9I1dk58w0lLk1ai1y07cRSewaRoOsQ4BfN";;;;
"7FhRUp59cBzPaxobsRY1Nc";"Bay Ledges";50;2371;"[""indie poptimism"",""indie psych-rock"",""vapor soul""]"
"1rKFeRryEci6cxNkdvHzNr1ZrBGJWLL8NiAjgNifCy90";;;;
"5aIqB5nVVvmFsvSdExz40813dkPjqmbcchm8cXjEJQeP";;;;
"0GbqW5TJr7n4is453VOY4C16VcXOpFIPL82u5CfIIz9R";;;;
"6Wr3hh341P84m3EI8qdn9O";"Rise Against";79;1239393;"[""alternative metal"",""hardcore punk"",""modern rock"",""nu metal"",""pop punk"",""post-grunge"",""punk""]"
"7hJcb9fa4alzcOq3EaNPoG2RdwBSPQiwcmiDo9kixcl8";;;;
"4I9DOo7pz3fn9yjxTktmX95jJBMnM3wotWAKrVBdzFRi31tOVgwE9y1Kuz7qcWaLJD";;;;
"26VFTg2z8YR0cCuwLzESi23J0BpFVUc9LeOIVeN5uNhU";;;;
"4FHxVyShnZBNHnblLJiLx9";"Ofelia Marsh";59;82;"[""focus""]"
"2ycnb8Er79LoH2AsR5ldjh";"Pet Shop Boys";70;408845;"[""dance pop"",""dance rock"",""electronic"",""europop"",""new romantic"",""new wave"",""new wave pop"",""permanent wave"",""synthpop""]"
"7HS5tD2CPw2AgG4AgWpxpN";"Mélanie Laurent";64;28030;"[]"
"0MlOPi3zIDMVrfA9R04Fe3";"American Authors";71;396278;"[""brooklyn indie"",""modern rock"",""neo mellow"",""pop"",""pop rock""]"
"7kFfY4UjNdNyaeUgLIEbIF0c173mlxpT3dSFRgMO8XPh";;;;
"1P9syEkl41IFowWIJN7ZBY";"Pete Seeger";48;43949;"[""children's christmas"",""delta blues"",""folk"",""folk christmas"",""folk rock"",""old-time"",""singer-songwriter"",""traditional blues"",""traditional folk""]"
"6jb3bTBWDo0CYqNuvIcyJe";"Alee";43;1447;"[""lift kit""]"
"0Kekt6CKSo0m5mivKcoH513MKCzCnpzw3TjUYs2v7vDA0s0wG03kPyu7MXERfcuxim4oymWGjeL8e919Frz2jqjg";;;;
"6zTbBugfNc95zo8ClFDhIn0GyAZiIV45rnBBf4KdGLS7";;;;
"3RosuARXNIOfNYoJXR7fzA";"Tobias Jesso Jr.";49;40481;"[]"
"2MpxaqGTQeft5RU4wvwm577hX07WHIaTAu2dBa3gDBhp2IM8RF4wA085LP7wJ9UoOt";;;;
"2vm8GdHyrJh2O2MfbQFYG0";"Ingrid Michaelson";69;441224;"[""acoustic pop"",""ectofolk"",""folk-pop"",""indie folk"",""indie pop"",""indiecoustica"",""lilith"",""neo mellow"",""pop"",""pop rock"",""viral pop""]"
"6nS5roXSAGhTGr34W6n7Et14L5rpGTLVUz1pD8fUeJB162R1EpHT7Y1OzPA9fVKKP9";;;;
"06Y4yJmsrlzPrwIG46ce7X";"The Black Lillies";36;7911;"[""alternative country"",""deep new americana"",""new americana"",""progressive bluegrass"",""roots rock""]"
"1Z13YUXbUmdKwDO4RtVgyx";"Svenne Rubins";49;10100;"[""classic swedish pop"",""dansband"",""danspunk"",""swedish alternative rock"",""swedish eurodance""]"
"2Dp1WxxWn4zWdltT5OMrVC6lobv83zx8aLotS2YXmfNZ3OMNuqaefKpUsINmjY7Hlq";;;;
"3afxrYkVNCaNbMqJbfThUy";"Forest Soundscapes";36;403;"[]"
"4HzKw8XcD0piJmDrrPRCYk";"Majid Jordan";77;210010;"[""deep indie r&b"",""indie r&b"",""pop rap"",""r&b"",""rap""]"
"1385hLNbrnbCJGokfH2ac22bMfnyPOgNaeK8WNnXNXud";;;;
"0HWfFWL4vVrbaBQqxVCwCi";"Julianna Barwick";53;25266;"[""ambient"",""chamber pop"",""chillwave"",""compositional ambient"",""dream pop"",""drone"",""focus"",""fourth world"",""freak folk"",""indie r&b"",""melancholia"",""minimal"",""modern classical"",""new weird america"",""post rock""]"
"2dd5mrQZvg6SmahdgVKDzh";"PSY";65;873555;"[""dance pop"",""k-hop"",""k-pop"",""korean pop""]"
"7zFc6IlzgDwyXojYH1GIkI";"Morten Myklebust";33;1240;"[]"
"7crPfGd2k81ekOoSqQKWWz";"Stevie Nicks";68;303079;"[""album rock"",""folk christmas"",""mellow gold"",""new wave pop"",""pop rock"",""rock"",""singer-songwriter"",""soft rock""]"
"0VzoflxRgSVEWHYmCbMOJJ";"Geoffroy";53;5910;"[]"
"04sL468iA1QEN0rf3IftXv";"ANR";24;2778;"[]"
"2QOIawHpSlOwXDvSqQ9YJR1U4pv151m4SgVMg8fXROYp4UxVKRFFn96O4m2VDkoXSw16QiQnPIen1llsJLqQKyxR0EFuR1ucytxvaPypD1sXxL";;;;
"1aSIXmBKKrEVIbGLwhedIe";"Chely Wright";41;24411;"[""contemporary country"",""country"",""country christmas"",""country dawn""]"
"6XGj8QCc5uKv4dt6pkdCKS";"Jerry Williams";51;3708;"[]"
"5wTAi7QkpP6kp8a54lmTOq1yTwwVZPzT44dkQYwitq7E";;;;
"0tWnElR8nnWIsopg1o3xmg";"Dream Koala";54;38481;"[""indie dream pop"",""vapor twitch""]"
"0lKHVrznMIh4noTdNQJ1qw";"Red Nichols";27;959;"[""big band"",""new orleans jazz"",""stride"",""swing""]"
"5moJNCJeiNwuQAhDLJXULs";"Incognito";56;62123;"[""acid jazz"",""classic funk rock"",""jazz funk"",""jazz fusion"",""nu jazz"",""smooth jazz""]"
"4nlx8JC05qQU06qyOFo6Kg";"Daggy Man";46;1126;"[]"
"3mQBpAOMWYqAZyxtyeo4Lo";"KC & The Sunshine Band";65;134483;"[""classic funk rock"",""disco"",""funk"",""mellow gold"",""motown"",""quiet storm"",""soft rock""]"
"2l9yw8Eb7B9bziBHtOmUVC";"Mavrick";45;1216;"[""deep pop edm""]"
"7hOGhpa8RMSuDOWntGIAJt4u5smJBskI6Adzv08PuiUP";;;;
"5Epbm4z0XUwp08se9Yu5x0";"Sister Crayon";36;3757;"[]"
"293zczrfYafIItmnmM3coR";"Chuck Berry";73;455743;"[""album rock"",""blues-rock"",""brill building pop"",""christmas"",""classic rock"",""electric blues"",""folk rock"",""jazz blues"",""mellow gold"",""motown"",""rock"",""rock-and-roll"",""rockabilly"",""roots rock"",""singer-songwriter"",""soul"",""soul blues""]"
"3E8Mx37sikkaFoX5DRecLi";"Oskar Linnros";66;63699;"[""classic swedish pop"",""deep pop edm"",""deep swedish indie pop"",""swedish alternative rock"",""swedish folk pop"",""swedish hip hop"",""swedish idol pop"",""swedish indie pop"",""swedish indie rock"",""swedish pop""]"
"2ZfHMUPrxoZNDTBPHmmdhj";"moe.";52;45325;"[""jam band"",""modern blues"",""progressive bluegrass"",""southern rock""]"
"6GMbArtEhQvuBq8zXXDo2X5El7Fa5t7eVZyZKhsAixU7";;;;
"5y2Xq6xcjJb2jVM54GHK3t3ipn9JLAPI5GUEo4y4jcoi";;;;
"2fg5h5pzleqI4RjFopWroj5XzTft6PPz33BBo9ToLcpV4FIlwjhmH0of3LcYC2V3Qj";;;;
"0haZhu4fFKt0Ag94kZDiz23PAwspMN27PDm81WwXDsMf";;;;
"3nom2q4wk6XDl2RN6xTs5f";"BCCF";35;4;"[]"
"55dc4rK8CrUWEneagloaa20P8YNJXX7QeQ8iZIUCXJgi";;;;
"26dSoYclwsYLMAKD3tpOr42RdwBSPQiwcmiDo9kixcl80KuF7reCTOZwV7YJnHQqgr";;;;
"4fmvA5uVlZUNsje29D1PaW";"Milk & Bone";55;21146;"[""vapor soul""]"
